# deviation_chirp_bias	 deviation_time_bias
0.00016549	0.00079338
0.00005214	0.00010224
0.00006318	0.00015713
0.00049053	0.00721105
0.00030023	0.00005012
0.00018453	0.00113823
0.00007181	0.00009735
0.00063175	0.00418028
0.00016106	0.00005977
0.00023754	0.00200537
0.00007071	0.00031602
0.00000681	0.00059245
0.00004497	0.00014196
0.00003271	0.00052787
0.00030385	0.01049599
0.00007792	0.00051538
0.00007718	0.00029182
0.00010135	0.00019281
0.00004884	0.00001860
0.00027119	0.00132620
0.00048972	0.00091181
0.00020153	0.00022498
0.00018619	0.00086003
0.00008639	0.00007145
0.00004144	0.00048805
0.00006955	0.00157539
0.00006019	0.00003392
0.00092524	0.00367756
0.00042109	0.00031434
0.00027235	0.00069203
0.00043249	0.01192462
0.00029295	0.00576764
0.00004192	0.00118043
0.00002204	0.00011934
0.00003926	0.00010290
0.00004764	0.00003530
0.00017531	0.00054322
0.00020602	0.00216304
0.00018123	0.00383085
0.00003653	0.00008097
0.00004513	0.00031936
0.00005478	0.00037865
0.00044993	0.00278145
0.00008753	0.00022276
0.00004707	0.00006574
0.00004365	0.00033033
0.00004385	0.00001222
0.00007828	0.00549873
0.00001347	0.00124328
0.00007089	0.00007071
0.00010923	0.00058805
0.00019531	0.00018359
0.00001770	0.00033635
0.00000270	0.00106932
0.00005233	0.00010496
0.00011839	0.00101430
0.00029954	0.00403958
0.00061069	0.00606131
0.00035942	0.00501070
0.00011336	0.00156578
0.00105796	0.00210001
0.00050922	0.01185644
0.00013409	0.00009343
0.00004835	0.00019599
0.00002034	0.00126112
0.00034270	0.00255364
0.00010747	0.00230330
0.00029304	0.00023877
0.00008368	0.00020412
0.00003188	0.00107759
0.00001524	0.00017004
0.00002536	0.00045094
0.00009341	0.00076962
0.00022006	0.00137091
0.00006977	0.00134200
0.00001091	0.00006184
0.00021545	0.00053937
0.00012201	0.00006288
0.00009369	0.00061835
0.00012744	0.00025924
0.00008941	0.00004393
0.00046053	0.00122930
0.00022113	0.00018433
0.00002118	0.00007856
0.00001962	0.00024177
0.00003427	0.00004574
0.00013032	0.00170723
0.00081598	0.00435465
0.00006032	0.00533424
0.00027329	0.00055959
0.00013165	0.00012370
0.00004805	0.00012287
0.00003917	0.00046582
0.00027680	0.00085525
0.00009902	0.00127932
0.00015005	0.00032119
0.00001145	0.00012016
0.00004515	0.00001359
0.00021412	0.00061851
0.00005108	0.00017010
0.00069200	0.00028570
0.00012187	0.00164663
0.00021042	0.00004400
0.00013820	0.00017572
0.00020858	0.00019647
0.00044360	0.00181675
0.00004597	0.00003552
0.00023884	0.00030349
0.00046042	0.00081860
0.00002716	0.00065844
0.00011982	0.00020930
0.00022473	0.00026742
0.00048923	0.00156647
0.00000597	0.00017526
0.00002338	0.00037680
0.00014826	0.00174189
0.00056939	0.00155047
0.00008105	0.00003164
0.00035849	0.00103717
0.00010051	0.00023367
0.00015671	0.00037079
0.00002191	0.00216179
0.00018588	0.00028983
0.00029937	0.00393802
0.00040049	0.00069728
0.00026891	0.00051145
0.00018585	0.00101219
0.00081982	0.00222330
0.00007981	0.00062384
0.00001420	0.00020961
